,node_ID,highway,street_count,x,y,geometry
1783,4813778917,,1,34.8479721,-19.8324701,POINT (34.8479721 -19.8324701)
1784,4813778918,,3,34.8471307,-19.8325957,POINT (34.8471307 -19.8325957)
1785,4813778919,,3,34.8470965,-19.8318437,POINT (34.8470965 -19.8318437)
1786,4813778920,,3,34.8469814,-19.8296323,POINT (34.8469814 -19.8296323)
1787,4813780321,,3,34.8469033,-19.8293107,POINT (34.8469033 -19.8293107)
1788,4813780322,,3,34.8412784,-19.8327221,POINT (34.8412784 -19.8327221)
1789,4816024494,,3,34.8768853,-19.8340309,POINT (34.8768853 -19.8340309)
1790,4816024496,,3,34.8888759,-19.8336466,POINT (34.8888759 -19.8336466)
1791,4816024501,,3,34.8819249,-19.8388661,POINT (34.8819249 -19.8388661)
1792,4816024503,,3,34.8818142,-19.8382711,POINT (34.8818142 -19.8382711)
1793,4816024507,,3,34.8749422,-19.8475265,POINT (34.8749422 -19.8475265)
1794,4816025122,,3,34.8826173,-19.8431403,POINT (34.8826173 -19.8431403)
1795,4816025129,,3,34.8842705,-19.8410711,POINT (34.8842705 -19.8410711)
1796,4816074044,,3,34.8735779,-19.8203879,POINT (34.8735779 -19.8203879)
1797,4816074050,,4,34.8720065,-19.8216754,POINT (34.8720065 -19.8216754)
1798,4816074053,,3,34.8722439,-19.8212767,POINT (34.8722439 -19.8212767)
1799,4816074060,,4,34.873568,-19.8206347,POINT (34.873568 -19.8206347)
1800,4816074061,,4,34.8737079,-19.8209804,POINT (34.8737079 -19.8209804)
1801,4816398937,,1,34.8388986,-19.8015094,POINT (34.8388986 -19.8015094)
1802,4816398940,,4,34.8394739,-19.8018656,POINT (34.8394739 -19.8018656)
1803,4816398945,,3,34.8387495,-19.8029035,POINT (34.8387495 -19.8029035)
1804,4816485209,,3,34.8815718,-19.849994,POINT (34.8815718 -19.849994)
1805,4816485210,,3,34.882183,-19.8499811,POINT (34.882183 -19.8499811)
1806,4816485213,,3,34.8821364,-19.8498301,POINT (34.8821364 -19.8498301)
1807,4816485216,,3,34.8824319,-19.8498281,POINT (34.8824319 -19.8498281)
1808,4816485220,,3,34.8813732,-19.8501494,POINT (34.8813732 -19.8501494)
