,stnode,endnode,osmid,oneway,ref,tunnel,maxspeed,lanes,length,service,bridge,highway,junction,access,name,geometry
8779,5653993923,5653993933,592394835,False,,,,,123.48700000000002,,,service,,,,"LINESTRING (34.8880747 -19.7858198, 34.8881344 -19.7857435, 34.8881759 -19.7856886, 34.8882088 -19.78564, 34.888239 -19.7856015, 34.8882712 -19.7855636, 34.8883047 -19.7855283, 34.8884274 -19.7853447, 34.8884294 -19.7853289, 34.888422 -19.7853062, 34.8879585 -19.7850816)"
8780,5653993933,5639589534,"[385524609, 592403458, 590771687]",False,,,,,487.5049999999999,,,residential,,,,"LINESTRING (34.8879585 -19.7850816, 34.8879714 -19.7850538, 34.8880063 -19.7850021, 34.8880392 -19.7849661, 34.8880679 -19.7849369, 34.8882439 -19.7847688, 34.888878 -19.7841723, 34.8890349 -19.7839376, 34.8890591 -19.7836802, 34.8896082 -19.7831552, 34.889619 -19.7831476, 34.8896311 -19.7831499, 34.8897645 -19.7832398, 34.8901346 -19.7835452, 34.8903774 -19.7837382, 34.8905906 -19.7839149, 34.8906704 -19.7839995, 34.8907442 -19.7840701, 34.8908239 -19.7841458, 34.8910291 -19.7843276, 34.8910727 -19.784373)"
8781,5653993933,3888724959,385524609,False,,,,,100.091,,,residential,,,,"LINESTRING (34.8879585 -19.7850816, 34.8879465 -19.7851073, 34.887836 -19.7853699, 34.8877049 -19.7856559, 34.887605 -19.7859177)"
8782,5653993933,5653993923,592394835,False,,,,,123.487,,,service,,,,"LINESTRING (34.8879585 -19.7850816, 34.888422 -19.7853062, 34.8884294 -19.7853289, 34.8884274 -19.7853447, 34.8883047 -19.7855283, 34.8882712 -19.7855636, 34.888239 -19.7856015, 34.8882088 -19.78564, 34.8881759 -19.7856886, 34.8881344 -19.7857435, 34.8880747 -19.7858198)"
8783,5653993950,3328285373,407381863,False,,,,,24.587,,,residential,,,,"LINESTRING (34.8892732 -19.7874348, 34.8890946 -19.7872911)"
8784,5653993950,3328125984,407381863,False,,,,,200.235,,,residential,,,,"LINESTRING (34.8892732 -19.7874348, 34.8896856 -19.7878367, 34.8901353 -19.7882565, 34.8906227 -19.7887115)"
8785,5653993950,6418970817,592394836,False,,,,,198.45499999999998,,,service,,,,"LINESTRING (34.8892732 -19.7874348, 34.8893896 -19.787348, 34.88945 -19.7873171, 34.8895513 -19.7872502, 34.8896887 -19.7871417, 34.8897162 -19.7871259, 34.8897424 -19.7871221, 34.8897638 -19.7871209, 34.8901226 -19.7871253, 34.8909017 -19.7871934, 34.891056 -19.7871808)"
8786,5653993957,5653993962,592394837,False,,,,,73.60499999999999,,,residential,,,,"LINESTRING (34.8826596 -19.787842, 34.8826334 -19.787785, 34.8826105 -19.7877295, 34.8825786 -19.7876641, 34.8825467 -19.7875894, 34.882491 -19.7874592, 34.8823716 -19.7872387)"
8787,5653993962,3328285521,479326784,False,,,,,72.669,,,residential,,,,"LINESTRING (34.8823716 -19.7872387, 34.8817191 -19.7874626)"
8788,5653993962,3328285388,479326784,False,,,,,68.34899999999999,,,residential,,,,"LINESTRING (34.8823716 -19.7872387, 34.8827894 -19.7871064, 34.8828846 -19.7870508, 34.8829562 -19.7869846)"
8789,5653993962,5653993957,592394837,False,,,,,73.605,,,residential,,,,"LINESTRING (34.8823716 -19.7872387, 34.882491 -19.7874592, 34.8825467 -19.7875894, 34.8825786 -19.7876641, 34.8826105 -19.7877295, 34.8826334 -19.787785, 34.8826596 -19.787842)"
8790,5653993965,5653993972,592394838,False,,,,,109.029,,,residential,,,,"LINESTRING (34.882947 -19.7883304, 34.8829765 -19.7883336, 34.883002 -19.7883304, 34.8830462 -19.788309, 34.8831019 -19.7882591, 34.8831609 -19.7881878, 34.8833118 -19.7880345, 34.8834559 -19.787895, 34.8836727 -19.7876545)"
8791,5653993972,3328284837,839392845,False,,,60,,35.439,,,tertiary,,,Rua Carlos Pereira,"LINESTRING (34.8836727 -19.7876545, 34.883439 -19.7874238)"
8792,5653993972,5653993965,592394838,False,,,,,109.029,,,residential,,,,"LINESTRING (34.8836727 -19.7876545, 34.8834559 -19.787895, 34.8833118 -19.7880345, 34.8831609 -19.7881878, 34.8831019 -19.7882591, 34.8830462 -19.788309, 34.883002 -19.7883304, 34.8829765 -19.7883336, 34.882947 -19.7883304)"
8793,5653993972,5654073192,839392845,False,,,60,,146.308,,,tertiary,,,Rua Carlos Pereira,"LINESTRING (34.8836727 -19.7876545, 34.8841667 -19.788119, 34.8846685 -19.7885782)"
